PassengerId,Pclass,Age,Fare,familySize,motherOrNot,encodeSex,lableEncodeEmbark,cabinAlpha_A,cabinAlpha_B,cabinAlpha_C,cabinAlpha_D,cabinAlpha_E,cabinAlpha_F,cabinAlpha_G,cabinAlpha_K,title_Capt,title_Master,title_Miss,title_Mr,title_Mrs,FareCategorise_veryLow,FareCategorise_low,FareCategorise_high,FareCategorise_veryHigh,ageState_Adult,ageState_Child,Survived
37,3,18.325232954127706,7.2292,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
38,3,21.0,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
39,3,18.0,18.0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
40,3,14.0,11.2417,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
41,3,40.0,9.475,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
42,2,27.0,21.0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
43,3,26.082385032922776,7.8958,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
44,2,3.0,41.5792,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
45,3,19.0,7.8792,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
46,3,26.080521860912715,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
47,3,23.504816444283016,15.5,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
48,3,18.318940217533402,7.75,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
49,3,20.944465884919126,21.6792,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
50,3,18.0,17.8,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
51,3,7.0,39.6875,6,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
52,3,21.0,7.8,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
53,1,49.0,76.7292,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
54,2,29.0,26.0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
55,1,65.0,61.9792,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
56,1,38.91090868334778,35.5,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
57,2,21.0,10.5,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
58,3,28.5,7.2292,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
59,2,5.0,27.75,4,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
60,3,11.0,46.9,8,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
61,3,22.0,7.2292,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
62,1,38.0,78.0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
63,1,45.0,83.475,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
64,3,4.0,27.9,6,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
65,1,46.77010990716617,27.7208,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
66,3,11.51215426348643,15.2458,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
67,2,29.0,10.5,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
68,3,19.0,8.1583,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
69,3,17.0,7.925,7,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
70,3,26.0,8.6625,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
71,2,32.0,10.5,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
72,3,16.0,46.9,8,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
73,2,21.0,73.5,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
74,3,26.0,14.4542,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
75,3,32.0,56.4958,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
76,3,25.0,7.65,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
77,3,26.082385032922776,7.8958,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
78,3,26.080521860912715,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
79,2,0.83,29.0,3,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
80,3,30.0,12.475,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
81,3,22.0,9.0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
82,3,29.0,9.5,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
83,3,18.318487111499827,7.7875,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
84,1,28.0,47.1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
85,2,17.0,10.5,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
86,3,33.0,15.85,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
87,3,16.0,34.375,5,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
88,3,26.080521860912715,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
89,1,23.0,263.0,6,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
90,3,24.0,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
91,3,29.0,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
92,3,20.0,7.8542,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
93,1,46.0,61.175,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
94,3,26.0,20.575,4,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
95,3,59.0,7.25,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
96,3,26.080521860912715,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
97,1,71.0,34.6542,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
98,1,23.0,63.3583,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
99,2,34.0,23.0,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
100,2,34.0,26.0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
101,3,28.0,7.8958,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
102,3,26.082385032922776,7.8958,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
103,1,21.0,77.2875,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
104,3,33.0,8.6542,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
105,3,37.0,7.925,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
106,3,28.0,7.8958,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
107,3,21.0,7.65,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
108,3,18.318638146844357,7.775,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
109,3,38.0,7.8958,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
110,3,15.635093494223604,24.15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
111,1,47.0,52.0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
112,3,14.5,14.4542,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
113,3,22.0,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
114,3,20.0,9.825,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
115,3,17.0,14.4583,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
116,3,21.0,7.925,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
117,3,70.5,7.75,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
118,2,29.0,21.0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
119,1,24.0,247.5208,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
120,3,2.0,31.275,7,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
121,2,21.0,73.5,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
122,3,26.080521860912715,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
123,2,32.5,30.0708,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
124,2,32.5,13.0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
125,1,54.0,77.2875,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
126,3,12.0,11.2417,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
127,3,26.084146709181322,7.75,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
128,3,24.0,7.1417,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
129,3,11.426215152451547,22.3583,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
130,3,45.0,6.975,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
131,3,33.0,7.8958,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
132,3,20.0,7.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
133,3,47.0,14.5,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
134,2,29.0,26.0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
135,2,25.0,13.0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
136,2,23.0,15.0458,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
137,1,19.0,26.2833,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
138,1,37.0,53.1,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
139,3,16.0,9.2167,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
140,1,24.0,79.2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
141,3,17.532521962512057,15.2458,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
142,3,22.0,7.75,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
143,3,24.0,15.85,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
144,3,19.0,6.75,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
145,2,18.0,11.5,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
146,2,19.0,36.75,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
147,3,27.0,7.7958,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
148,3,9.0,34.375,5,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
149,2,36.5,26.0,3,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
150,2,42.0,13.0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
151,2,51.0,12.525,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
152,1,22.0,66.6,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
153,3,55.5,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
154,3,40.5,14.5,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
155,3,26.089432946239704,7.3125,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
156,1,51.0,61.3792,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
157,3,16.0,7.7333,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
158,3,30.0,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
159,3,26.073121129030977,8.6625,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
160,3,3.009133132322617,69.55,11,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
161,3,44.0,16.1,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
162,2,40.0,15.75,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
163,3,26.0,7.775,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
164,3,17.0,8.6625,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
165,3,1.0,39.6875,6,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
166,3,9.0,20.525,3,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
167,1,34.44476640197342,55.0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
168,3,45.0,27.9,6,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
169,1,46.79180824890206,25.925,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
170,3,28.0,56.4958,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
171,1,61.0,33.5,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
172,3,4.0,29.125,6,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
173,3,1.0,11.1333,3,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
174,3,21.0,7.925,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
175,1,56.0,30.6958,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
176,3,18.0,7.8542,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
177,3,14.182486680320395,25.4667,5,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
178,1,50.0,28.7125,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
179,2,30.0,13.0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
180,3,36.0,0.0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
181,3,3.009133132322617,69.55,11,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
182,2,36.45957553330881,15.05,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
183,3,9.0,31.3875,7,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
184,2,1.0,39.0,4,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1
185,3,4.0,22.025,3,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
186,1,46.500914175346374,50.0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
187,3,15.7396099526351,15.5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
188,1,45.0,26.55,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
189,3,40.0,15.5,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
190,3,36.0,7.8958,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
191,2,32.0,13.0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
192,2,19.0,13.0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
193,3,19.0,7.8542,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
194,2,3.0,26.0,3,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
195,1,44.0,27.7208,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
196,1,58.0,146.5208,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
197,3,26.084146709181322,7.75,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
198,3,42.0,8.4042,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
199,3,18.318940217533402,7.75,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
200,2,24.0,13.0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
201,3,28.0,9.5,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
202,3,3.009133132322617,69.55,11,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
203,3,34.0,6.4958,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
204,3,45.5,7.225,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
205,3,18.0,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
206,3,2.0,10.4625,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
207,3,32.0,15.85,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
208,3,26.0,18.7875,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
209,3,16.0,7.75,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
210,1,40.0,31.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
211,3,24.0,7.05,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
212,2,35.0,21.0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
213,3,22.0,7.25,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
214,2,30.0,13.0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
215,3,23.59845835788868,7.75,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
216,1,31.0,113.275,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
217,3,27.0,7.925,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
218,2,42.0,27.0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
219,1,32.0,76.2917,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
220,2,30.0,10.5,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
221,3,16.0,8.05,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
